,issue label,dx,dy
0,SurfaceProblem,305.7906055192026,114.38077679000989
1,SurfaceProblem,317.7809245697009,100.79979891350736
2,SurfaceProblem,-258.20402678976694,190.85726696490156
3,SurfaceProblem,-21.694983530427983,98.9630273153099
4,SurfaceProblem,-59.1647305615048,112.71098442837175
5,SurfaceProblem,-16.44921894656711,194.53081016129644
6,SurfaceProblem,-161.83183742573942,87.66409899984468
7,SurfaceProblem,-161.08244248594855,71.52277283444238
8,SurfaceProblem,-148.34272849459435,98.7960480787506
9,SurfaceProblem,-108.62479664201501,99.46396502340586
10,SurfaceProblem,-212.41599591753334,94.34326844718824
11,SurfaceProblem,-271.2434987566115,-52.20884118232306
12,SurfaceProblem,-247.26286065667972,-72.07937028858541
13,SurfaceProblem,-24.317865822358424,-54.26825176154495
14,SurfaceProblem,-50.17199127442975,-55.49276616034325
15,SurfaceProblem,38.25661171886894,-104.19504338283072
16,SurfaceProblem,41.25419148122729,-71.18881436211474
17,SurfaceProblem,37.50721677801311,-83.09999987697911
18,SurfaceProblem,15.77476350064883,-53.37769583507428
19,SurfaceProblem,38.25661171886894,-103.24882771110394
20,SurfaceProblem,50.546688744857654,-100.91111840401958
21,SurfaceProblem,50.546688744857654,-85.66034816508794
22,SurfaceProblem,47.998745946799815,-20.31580706989316
23,SurfaceProblem,125.93581977131178,-49.9267916204948
24,SurfaceProblem,299.04605105363004,-144.65967828605775
25,SurfaceProblem,-25.441958233642165,195.0874076154395
26,SurfaceProblem,-56.16715079914645,192.08178136369983
27,SurfaceProblem,-96.93423556913693,171.15371709440754
28,SurfaceProblem,-1.4613201337104023,113.26758188251478
29,SurfaceProblem,21.395225554937618,101.0224378945318
30,SurfaceProblem,-58.1155776451586,99.90924298703669
31,SurfaceProblem,-44.92622668950392,96.90361673529705
32,SurfaceProblem,-28.43953799600051,100.35452094987654
33,SurfaceProblem,257.5295713438487,98.7960480787506
34,SurfaceProblem,315.83249772368873,99.13000655107822
35,SurfaceProblem,161.90677692067695,114.38077679000989
36,SurfaceProblem,130.43218941431684,100.79979891350736
37,SurfaceProblem,143.3592521403525,194.53081016129644
38,SurfaceProblem,183.1895932337407,173.82538487381953
39,SurfaceProblem,27.015687609226408,95.45646335547431
40,SurfaceProblem,68.23240934351739,101.0224378945318
41,SurfaceProblem,45.750561125297295,173.82538487381953
42,SurfaceProblem,-7.756237634982425,192.97233729017051
43,SurfaceProblem,-265.62303670232274,94.34326844718824
44,SurfaceProblem,-212.79069338796128,96.56965826296943
45,SurfaceProblem,-241.64239860239098,-71.52277283444238
46,SurfaceProblem,-237.52072642874884,-52.04186194576376
47,SurfaceProblem,-159.28389462768158,1.391493634566626
48,SurfaceProblem,38.55636969542425,-115.38265220699277
49,SurfaceProblem,21.395225554937618,-131.07870040876426
50,SurfaceProblem,-50.92138621528557,-53.71165430740192
51,SurfaceProblem,-125.56112229981892,-153.8991960215101
52,SurfaceProblem,317.7809245697009,100.79979891350736
53,SurfaceProblem,52.86981306129773,-198.42699233871576
54,SurfaceProblem,-51.22114419077594,-63.73040847881273
55,SurfaceProblem,-34.43469752071721,-65.73415931356948
56,SurfaceProblem,-51.67078115507645,-151.89544518754434
57,SurfaceProblem,38.25661171886894,-109.37139970430447
58,SurfaceProblem,-280.61093551411443,-135.86543851344524
59,SurfaceProblem,-263.74954935018314,-151.89544518754434
60,SurfaceProblem,-251.30959333644927,-138.31446731025085
61,SurfaceProblem,-217.58682100858658,-133.86168767868847
62,SurfaceProblem,-240.51830619110723,-72.07937028858541
63,NoCurbRamp,35.48385043812836,177.10930985183973
64,NoCurbRamp,39.50560578392474,109.48271919481668
65,NoCurbRamp,30.950011048187015,16.057836546727174
66,NoCurbRamp,37.55717893897754,-53.71165430740192
67,NoCurbRamp,37.84444450150473,-146.49644988425518
68,NoCurbRamp,51.24612152474906,-134.45538791921666
69,NoCurbRamp,-179.06792106009863,-134.97488258697456
70,NoCurbRamp,23.143811251175208,189.5956497797181
71,NoCurbRamp,49.122838358083555,-67.18131269339221
72,NoCurbRamp,38.45645286757855,-135.9396552175723
73,NoCurbRamp,47.998745946799815,-137.42391138457114
74,NoCurbRamp,240.96794315540774,-142.5446079607888
75,NoCurbRamp,21.64502137052851,109.77957488155015
76,NoCurbRamp,27.76508255008223,177.1649695978868
77,NoCurbRamp,-157.33546778273438,109.26008021379225
78,NoCurbRamp,23.768312031277162,177.90710324666915
79,NoCurbRamp,39.90528058832577,97.46021418944008
80,NoCurbRamp,31.137359782868494,30.167582004744677
81,NoCurbRamp,42.503185547348046,29.74086100077579
82,NoCurbRamp,39.755401599515636,-67.84922963883845
83,NoCurbRamp,32.261452194152234,-71.18881436211474
84,NoCurbRamp,43.1276788323019,-57.05123903146918
85,NoCurbRamp,50.32187026217494,-132.35887455281866
86,NoCurbRamp,40.00519741510653,-149.96591105770563
87,NoCurbRamp,-164.08002224830688,-132.30321480756254
88,NoCurbRamp,-304.06699715587314,14.74983253004471
89,NoCurbRamp,230.85111145704892,-130.52210295541218
90,NoCurbRamp,238.6448188400326,-130.18814448308456
91,NoCurbRamp,227.85353169469056,16.419624891682858
92,NoCurbRamp,44.43911997933207,28.16383117077891
93,NoCurbRamp,46.15023592863337,16.234088697043568
94,NoCurbRamp,39.155885647469944,-66.51339574873695
95,NoCurbRamp,40.35491755262628,-132.41453429886573
96,NoCurbRamp,52.30776685512339,-64.17568644244356
97,NoCurbRamp,39.605522611770446,-134.64092411464694
98,NoCurbRamp,48.99793670324654,-147.70240732339155
