,node id,x,y,issue
200,12291196080,96.89777785195615,-140.723938351139,False
201,12291196081,273.5001895578958,-139.9892297120182,False
202,12291196083,99.10849292652237,-220.88510367163497,False
203,12291196082,274.27956029566167,-221.2190621439626,False
204,8211131573,-148.40916200975016,-108.70845279898744,False
205,8211131575,-134.6053072041272,-100.6489216654957,False
206,53142714,-319.29369031957964,61.00924286401582,False
207,8211131579,-121.26607726072736,-108.12959144721654,False
208,8211131582,-121.32602885667738,-174.14204948785755,False
209,9146790562,93.51800666914366,-99.99213667004986,False
210,53142717,78.5675776042882,61.1762221005751,False
211,53142718,281.3463545857383,61.25414574425005,False
212,8211131591,-255.68504775992864,-100.2370395502841,False
213,12291636436,472.569461583068,-105.99225722431972,False
214,12291636438,473.9558422239707,-91.5541192681838,False
215,12291196044,99.3183235102176,-339.2733821303674,False
216,8933213435,92.98593626200928,-338.95055560724916,False
217,8190788913,272.9606252007352,68.95745450699533,False
218,7960032575,-111.62885832464407,-188.02358998985042,False
219,7960032580,-112.7379628369403,-174.60959134911622,False
220,7960032581,-111.9510981491482,-106.71583391423108,False
221,8151412051,476.4063636791423,-187.0105826236581,False
222,8151412052,474.0082998698946,-255.01565954905547,False
223,8151412059,290.5714063055223,-335.9894571515562,False
224,12234374502,87.38046210564305,136.0608435567126,False
225,12234374524,90.1981870822812,-60.07296727175647,False
226,12234374525,74.4459054306461,-60.128627017012576,False
227,12234374527,-98.32709812818051,-11.58219708187498,False
228,1424516502,681.2984343944022,-261.40539832011814,False
229,8933228017,88.07739940057508,-263.55386449301534,False
230,8933228018,93.35313978241098,-269.2756863194227,False
231,8933228029,99.12348082550989,-261.4499261169558,False
232,8933228037,92.25152922014097,-175.83410574791452,False
233,8933228038,98.10430370607375,-180.86574673124778,False
234,8933228040,86.85588564746995,-180.8212189352011,False
235,60412698,681.2834464954146,-179.84160741584606,False
236,8933228058,85.00488014434413,-94.94936373750717,False
237,8933228059,90.72276354151924,-100.00326861925927,False
238,8933228060,86.06152701071656,-105.32434027887348,False
239,8933228061,80.22374042270631,-100.04779641530597,False
240,12243195447,272.5934216792685,-11.092391322988433,False
241,12243195448,271.5817385098586,-24.996195722609173,False
242,12243195450,272.96811914969646,-25.408077838611746,False
243,12243195452,289.40235019727606,-11.593329031084394,False
244,12243195453,288.4955823197137,-10.981071831685242,False
245,12243195454,289.4772896922136,-25.029591570237415,False
246,12243195456,288.7578705482679,-25.530529278333375,False
247,12243195457,289.9793843024379,68.97971840462318,False
248,12243195460,288.6979189533827,52.2372669898221,False
249,12243195461,289.16254381667073,53.6732884212264,False
250,8933228102,79.24203305127143,136.63970490927443,False
251,12243195462,272.93814335278637,52.114815550100474,False
252,12243195464,272.5259761354222,53.751212064110376,False
253,12243195468,272.1587726139556,135.74914898280377,False
254,12243195470,288.73538870031905,136.13876720038758,False
255,8880418383,-319.77330308079024,-190.2499798056316,False
256,12243195488,272.93064940276014,36.69706607460952,False
257,12243195489,288.9152434860393,-59.29373083579801,False
258,12243195490,273.0655404925828,-59.315994734216844,False
259,53147253,79.30198464615651,-18.29476237684679,False
260,8210534014,-121.31104095768988,-255.48320141031417,False
261,53233319,-121.9405327077106,-18.517401358662198,False
262,53233320,281.4362819785984,-18.239102631590683,False
263,53142715,-121.70072632604037,60.797735831409824,False
264,8211109600,-121.38598045156247,-93.44655061163735,False
265,8211109606,-218.0804096390292,-26.88862706606274,False
266,53184242,-323.4003745942342,-100.00326861925927,False
267,53184243,-121.25108936173986,-100.69344946233338,False
268,7396583189,93.40559742833476,-257.96562605474804,False
269,3877240624,-243.16265830229588,-28.469363835607496,False
270,3877240625,-192.36866922680673,-29.014829340541112,False
271,3877240626,-193.02813677480242,-91.88807774051143,False
272,3877240627,-227.3204492567358,-91.52072342055556,False
273,3877240630,-167.2264689686549,-28.213329006954808,False
274,3877240631,-217.88556695432146,-18.81796398336158,False
275,3877240632,-218.38016761558453,-37.163416066126246,False
276,3877240635,-218.0804096390292,-55.65358348703137,False
277,3877240638,-202.3056461394453,-55.85395857042795,False
278,3877240641,-192.67592115232333,-58.57015414588664,False
279,3877240642,-175.46981331593912,-58.36977906249007,False
280,3877240643,-174.26328746182145,-60.17315481305926,False
281,3877240644,-167.52622694521023,-60.17315481305926,False
282,670081548,679.7022231708692,-18.21683873317184,False
283,53210973,-122.5700244577313,223.15721315399583,False
284,8939138935,282.28309826234056,-256.67431996148423,False
285,8939138936,282.27560431231433,-268.0177760737871,False
286,8939138937,276.23548109063506,-262.0621833163549,False
287,8939138938,287.6712478849853,-262.1623708576577,False
288,12291350401,272.39108504559954,-92.8788212082849,False
289,12291350403,273.1554678854429,-92.45580714307292,False
290,12291350405,289.28994095646715,-139.9447019159715,False
291,12291350409,290.3315999238521,-302.8162488958628,False
292,53098386,-121.4159562495375,-425.401272156714,False
293,8939138960,282.8376505174237,-338.7056527270149,False
294,8939087769,280.59695964594744,136.73989245057726,False
295,8939087790,285.41556911345657,-99.43553921590683,False
296,8939087791,280.6868870388075,-104.38925655635612,False
297,8939087792,276.0706142039024,-99.46893506353507,False
298,8939087793,281.19647559799307,-95.04955127880997,False
299,8939087813,281.77350970209005,-185.47437365016003,False
300,8939087814,286.1799519532999,-180.74329529152615,False
301,8939087815,276.96239418354213,-180.7766911391544,False
302,8939087816,281.78849760107755,-176.3016476091732,False
303,12289920982,-134.08822469491537,-338.683388829387,False
304,12289920988,-112.46068670833377,-338.33829840785,False
305,12289920989,-111.77124336342798,-271.0122703755263,False
306,12289920990,-113.21008164918963,-271.0122703755263,False
307,12289920993,-112.08598923790585,-255.73923623896684,False
308,12289920994,-135.06993206741527,-271.23490935734173,False
309,12289920996,-133.98330940306784,-255.08245124352098,False
310,12289920998,-134.27557342959688,-255.8950835263167,False
311,12289920999,86.79593405258487,-220.89623562084438,False
312,12291636439,353.4906055192026,-7.6192232099901105,True
313,12291636440,365.4809245697009,-21.20020108649264,True
314,12291636441,-210.50402678976695,68.85726696490156,True
315,12291636442,26.00501646957202,-23.0369726846901,True
316,12291636443,-11.464730561504794,-9.289015571628255,True
317,12291636444,31.250781053432892,72.53081016129644,True
318,12291636445,-114.13183742573942,-34.33590100015532,True
319,12291636446,-113.38244248594854,-50.47722716555762,True
320,12291636447,-100.64272849459435,-23.2039519212494,True
321,12291636448,-60.92479664201501,-22.536034976594138,True
