,label id,issue label,dx,dy,lng,lat
0,216204,SurfaceProblem,162.03978702864364,114.36582658214807,-122.3508682251,47.6870498657
1,216203,SurfaceProblem,130.5939238307373,100.77702294578398,-122.3512878418,47.6869277954
2,213223,SurfaceProblem,143.45814229691152,194.41238848707945,-122.3511161804,47.6877689362
3,213222,SurfaceProblem,183.19427695264022,173.816846668367,-122.3505859375,47.6875839233
4,219278,SurfaceProblem,27.10844771546266,95.25656694573001,-122.3526687622,47.6868782043
5,216202,SurfaceProblem,68.27394081110167,101.20167340665732,-122.3521194458,47.6869316101
6,213225,SurfaceProblem,45.975964134750875,173.816846668367,-122.3524169922,47.6875839233
7,213237,SurfaceProblem,-7.767875738441329,192.926106305576,-122.3531341553,47.6877555847
8,192420,SurfaceProblem,-265.6239509634272,94.40727715454915,-122.3565750122,47.686870575
9,192419,SurfaceProblem,-213.02359784152424,96.53051832993194,-122.3558731079,47.6868896484
10,212992,SurfaceProblem,-241.61074415961008,-71.6309419840932,-122.3562545776,47.6853790283
11,212989,SurfaceProblem,-237.60854802151846,-52.09703188521986,-122.3562011719,47.6855545044
12,213002,SurfaceProblem,-159.27975796833206,1.4088817392807749,-122.3551559448,47.6860351562
13,12208,SurfaceProblem,38.54330774066166,-115.36990612562653,-122.3525161743,47.6849861145
14,201286,SurfaceProblem,21.391013954756637,-131.0819620703121,-122.3527450562,47.6848449707
15,12182,SurfaceProblem,-50.64859896261163,-53.79563373187707,-122.3537063599,47.6855392456
16,201288,SurfaceProblem,-125.5469212657173,-154.01306472877016,-122.3547058105,47.6846389771
17,213191,SurfaceProblem,317.55387288964414,100.77702294578398,-122.3487930298,47.6869277954
18,215730,SurfaceProblem,52.836877152662986,-198.60134092577985,-122.3523254395,47.6842384338
19,12180,SurfaceProblem,-51.220342338788726,-63.56258321484438,-122.3537139893,47.6854515076
20,12185,SurfaceProblem,-34.639791929060806,-65.68583552237492,-122.3534927368,47.6854324341
21,201287,SurfaceProblem,-51.79208571496583,-151.88982355338737,-122.3537216187,47.6846580505
22,12206,SurfaceProblem,37.97156436554951,-109.42479966390825,-122.3525238037,47.6850395203
