,label id,issue label,dx,dy,lng,lat
321,17370,SurfaceProblem,-471.2241894859881,518.0095988855741,-122.3241348267,47.6638183594
322,54868,SurfaceProblem,-960.8881111339003,-392.86499544057097,-122.3306655884,47.6556358337
323,54842,SurfaceProblem,-937.4345802934835,-479.49362280109995,-122.3303527832,47.6548576355
324,23076,SurfaceProblem,-881.374922856621,-394.13894682556383,-122.3296051025,47.6556243896
325,180952,SurfaceProblem,-786.4167315848163,-130.8558387887398,-122.328338623,47.657989502
326,180855,SurfaceProblem,-372.2617342907049,230.52143680609007,-122.3228149414,47.6612358093
327,180857,SurfaceProblem,-365.96932705220786,219.90518639979413,-122.3227310181,47.6611404419
328,180859,SurfaceProblem,-373.9778474012238,183.3852689720333,-122.3228378296,47.6608123779
329,6801,SurfaceProblem,-422.0289769911292,124.78354980835199,-122.3234786987,47.6602859497
330,180847,SurfaceProblem,-390.5669258016963,333.71143216599,-122.323059082,47.6621627808
331,53808,SurfaceProblem,-370.54562118125153,314.1775220671167,-122.3227920532,47.6619873047
332,180846,SurfaceProblem,-390.5669258016963,371.9299403074694,-122.323059082,47.6625061035
333,17379,SurfaceProblem,-417.4526828620854,435.62746500874937,-122.3234176636,47.6630783081
334,69943,SurfaceProblem,-472.3682573950597,373.2038916916713,-122.3241500854,47.6625175476
335,3344,SurfaceProblem,-553.025521078286,302.7119707382831,-122.3252258301,47.6618843079
336,20383,SurfaceProblem,-705.1874376960246,183.8099194336976,-122.327255249,47.6608161926
337,186089,SurfaceProblem,-715.4841088580002,186.3578222028924,-122.3273925781,47.6608390808
338,20379,SurfaceProblem,-700.611143566981,143.892809445561,-122.3271942139,47.6604576111
339,15259,SurfaceProblem,-783.2705317150709,147.50233280244726,-122.3282966614,47.660490036
340,186056,SurfaceProblem,-778.4082112368659,135.82445067631218,-122.3282318115,47.6603851318
341,186061,SurfaceProblem,-778.4082112368659,162.57741862110575,-122.3282318115,47.6606254578
342,186044,SurfaceProblem,-779.5522866428129,98.03059299649715,-122.3282470703,47.6600456238
343,180955,SurfaceProblem,-784.7006259733039,-90.93872880060326,-122.3283157349,47.6583480835
344,180951,SurfaceProblem,-794.425259431773,-126.6093453050355,-122.3284454346,47.6580276489
345,180968,SurfaceProblem,-815.0186017557243,7.155461020907057,-122.3287200928,47.6592292786
346,186035,SurfaceProblem,-783.5565505662913,13.949857273015224,-122.3283004761,47.6592903137
347,180962,SurfaceProblem,-782.4124751603443,-28.939805945189498,-122.3282852173,47.6589050293
348,180959,SurfaceProblem,-783.5565505662913,-54.8434618345067,-122.3283004761,47.6586723328
349,180956,SurfaceProblem,-784.1285882697975,-70.55551777919229,-122.3283081055,47.658531189
350,54063,SurfaceProblem,-893.3877071291155,3.7582573283836145,-122.3297653198,47.659198761
351,7230,SurfaceProblem,-836.1839817831815,530.53677080289,-122.3290023804,47.6639308929
352,7242,SurfaceProblem,-827.0313860282185,412.271711888627,-122.3288803101,47.6628684998
353,7238,SurfaceProblem,-827.6034237317249,426.7098164491107,-122.3288879395,47.6629981995
354,7233,SurfaceProblem,-827.6034237317249,446.6683658767096,-122.3288879395,47.6631774902
355,7120,SurfaceProblem,-912.8369740460539,433.5042127012189,-122.3300247192,47.6630592346
356,23088,SurfaceProblem,-834.4678686737282,-458.68576131802473,-122.3289794922,47.6550445557
357,23089,SurfaceProblem,-847.6247283521697,-490.9591741307245,-122.3291549683,47.6547546387
358,180929,SurfaceProblem,-765.8233892608653,-502.6370562568596,-122.3280639648,47.6546497345
359,180932,SurfaceProblem,-763.5352459458467,-461.6583145488839,-122.3280334473,47.6550178528
360,3092,SurfaceProblem,-631.6806453028977,-396.47451879824814,-122.3262748718,47.6556034088
361,3081,SurfaceProblem,-650.8438933686157,-399.2347412318058,-122.3265304565,47.6555786133
362,180909,SurfaceProblem,-641.6912976136528,-405.60449815518837,-122.3264083862,47.6555213928
